region	XYcellid	X:X	Y:Y	celltypes	efact
reg1	1497.5__1244.5	1497.5	1244.5	Tumor	1
reg1	1499.5__1337.5	1499.5	1337.5	CD8T	1
reg1	1500__949.5	1500	949.5	Bcell	1
reg1	1501__816.5	1501	816.5	Bcell	1
reg1	1501.5__1416.5	1501.5	1416.5	Tumor	1
reg1	1502__1217	1502	1217	Tumor	1
reg1	1503.5__1299.5	1503.5	1299.5	CD8T	1
reg1	1504.5__1545.5	1504.5	1545.5	CD8T	1
reg1	1505__926	1505	926	CD8T	1
reg1	1507.5__1113.5	1507.5	1113.5	CD4T	1
reg1	1509__585	1509	585	CD4T	1
reg1	1510__1509	1510	1509	CD4T	1
reg1	1510.5__1260.5	1510.5	1260.5	Treg	1
reg1	1511__1524.5	1511	1524.5	Treg	1
reg1	1512__1453	1512	1453	Treg	1
reg1	1512.5__1365.5	1512.5	1365.5	Stroma	1
reg1	1513.5__863.5	1513.5	863.5	Stroma	1
reg1	1514.5__977	1514.5	977	Tumor	1
reg1	1515.5__1431.5	1515.5	1431.5	Tumor	1
reg1	1516.5__1037.5	1516.5	1037.5	Macrophage	1
reg1	1519.5__939.5	1519.5	939.5	Macrophage	1
reg1	1520__1061	1520	1061	Tumor	1
reg1	1520__1226.5	1520	1226.5	Tumor	1
reg1	1520__1328	1520	1328	Tumor	1
reg1	1520__1464.5	1520	1464.5	Tumor	1
reg1	1520.5__956.5	1520.5	956.5	Tumor	1
reg1	1520.5__1486	1520.5	1486	CD8T	1
reg1	1523__1245.5	1523	1245.5	Bcell	1
reg1	1523.5__915.5	1523.5	915.5	Bcell	1
reg1	1523.5__1293.5	1523.5	1293.5	Tumor	1
reg1	1525.5__993	1525.5	993	Tumor	1
reg1	1528__1531	1528	1531	CD8T	1
reg1	1530.5__897.5	1530.5	897.5	CD8T	1
reg1	1531.5__1211	1531.5	1211	CD8T	1
reg1	1531.5__1572	1531.5	1572	CD4T	1
reg1	1532__1415.5	1532	1415.5	CD4T	1
reg1	1533.5__694.5	1533.5	694.5	CD4T	1
reg1	1534.5__930.5	1534.5	930.5	Treg	1
reg1	1535__799.5	1535	799.5	Treg	1
reg1	1535.5__1500	1535.5	1500	Treg	1
reg1	1536__838.5	1536	838.5	Stroma	1
reg1	1536__979.5	1536	979.5	Stroma	1
reg1	1537.5__870	1537.5	870	Tumor	1
reg1	1539__1041	1539	1041	Tumor	1
reg1	1539__1075	1539	1075	Macrophage	1
reg1	1541.5__1546.5	1541.5	1546.5	Macrophage	1
reg1	1542.5__1017	1542.5	1017	Tumor	1
reg1	1544.5__1328.5	1544.5	1328.5	Tumor	1
reg1	1547__1054	1547	1054	Tumor	1
reg1	1547__1389.5	1547	1389.5	Tumor	1
reg1	1548.5__1289.5	1548.5	1289.5	Tumor	1
reg1	1550.5__1407.5	1550.5	1407.5	CD8T	1
reg1	1552.5__1441.5	1552.5	1441.5	Bcell	1
reg1	1553.5__965	1553.5	965	Bcell	1
reg1	1553.5__984	1553.5	984	Tumor	1
reg1	1554__1179	1554	1179	Tumor	1
reg1	1555__1258.5	1555	1258.5	CD8T	1
reg1	1555.5__935	1555.5	935	CD8T	1
reg1	1555.5__950	1555.5	950	CD8T	1
reg1	1555.5__1230.5	1555.5	1230.5	CD4T	1
reg1	1556__595	1556	595	CD4T	1
reg1	1556__1204	1556	1204	CD4T	1
reg1	1556.5__901	1556.5	901	Treg	1
reg1	1557__1324	1557	1324	Treg	1
reg1	1558__1465	1558	1465	Treg	1
reg1	1560__1092.5	1560	1092.5	Stroma	1
reg1	1560.5__1026	1560.5	1026	Stroma	1
reg1	1560.5__1041.5	1560.5	1041.5	Tumor	1
reg1	1562__924.5	1562	924.5	Tumor	1
reg1	1565__1001	1565	1001	Macrophage	1
reg1	1566__1426.5	1566	1426.5	Macrophage	1
reg1	1567.5__1481.5	1567.5	1481.5	Tumor	1
reg1	1568__1078.5	1568	1078.5	Tumor	1
reg1	1568.5__1055.5	1568.5	1055.5	Tumor	1
reg1	1569__757	1569	757	Tumor	1
reg1	1569__1067.5	1569	1067.5	Tumor	1
reg1	1570__1350.5	1570	1350.5	CD8T	1
reg1	1573__1288	1573	1288	Bcell	1
reg1	1573.5__1397.5	1573.5	1397.5	Bcell	1
reg1	1573.5__1547.5	1573.5	1547.5	Tumor	1
reg1	1574.5__1418.5	1574.5	1418.5	Tumor	1
reg1	1574.5__1452.5	1574.5	1452.5	CD8T	1
reg1	1576.5__1374	1576.5	1374	CD8T	1
reg1	1579__1320	1579	1320	CD8T	1
reg1	1580.5__1027.5	1580.5	1027.5	CD4T	1
reg1	1582__999	1582	999	CD4T	1
reg1	1583__897.5	1583	897.5	CD4T	1
reg1	1583__1442	1583	1442	Treg	1
reg1	1584.5__937	1584.5	937	Treg	1
reg1	1584.5__956	1584.5	956	Treg	1
reg1	1586.5__977.5	1586.5	977.5	Stroma	1
reg1	1586.5__1100.5	1586.5	1100.5	Stroma	1
reg1	1590__1079.5	1590	1079.5	Tumor	1
reg1	1591.5__1007.5	1591.5	1007.5	Tumor	1
reg1	1595.5__1046.5	1595.5	1046.5	Macrophage	1
reg1	1597__1415.5	1597	1415.5	Macrophage	1
reg1	1599__578.5	1599	578.5	Tumor	1
reg1	1599.5__1386.5	1599.5	1386.5	Tumor	1
reg1	1601__869.5	1601	869.5	Tumor	1
reg1	1603__599.5	1603	599.5	Tumor	1
reg1	1603__1443.5	1603	1443.5	Tumor	1
reg1	1603.5__1304.5	1603.5	1304.5	CD8T	1
reg1	1604__822	1604	822	Bcell	1
reg1	1604__1024	1604	1024	Bcell	1
reg1	1606__1109.5	1606	1109.5	Tumor	1
reg1	1607__620.5	1607	620.5	Tumor	1
reg1	1608.5__947.5	1608.5	947.5	CD8T	1
reg1	1609.5__1403	1609.5	1403	CD8T	1
reg1	1611__967.5	1611	967.5	CD8T	1
reg1	1611.5__645	1611.5	645	CD4T	1
reg1	1616.5__692.5	1616.5	692.5	CD4T	1
reg1	1621__1021.5	1621	1021.5	CD4T	1
reg1	1621.5__835	1621.5	835	Treg	1
reg1	1624.5__1065.5	1624.5	1065.5	Treg	1
reg1	1626.5__1451.5	1626.5	1451.5	Treg	1
reg1	1627.5__1287	1627.5	1287	Stroma	1
reg1	1629__1355.5	1629	1355.5	Stroma	1
reg1	1633__1407.5	1633	1407.5	Tumor	1
reg1	1633__1478	1633	1478	Tumor	1
reg1	1639.5__722.5	1639.5	722.5	Macrophage	1
reg1	1646__644.5	1646	644.5	Macrophage	1
reg1	1650__901.5	1650	901.5	Tumor	1
reg1	1652.5__1357	1652.5	1357	Tumor	1
reg1	1653.5__700.5	1653.5	700.5	Tumor	1
reg1	1654__1037	1654	1037	Tumor	1
reg1	1662__1232.5	1662	1232.5	Tumor	1
reg1	1666__1294	1666	1294	CD8T	1
reg1	1669__1016.5	1669	1016.5	Bcell	1
reg1	1673__964	1673	964	Bcell	1
reg1	1680.5__691	1680.5	691	Tumor	1
reg1	1680.5__1045.5	1680.5	1045.5	Tumor	1
reg1	1691.5__1117	1691.5	1117	CD8T	1
reg1	1694__1044	1694	1044	CD8T	1
reg1	1699__983	1699	983	CD8T	1
reg1	1703__1285.5	1703	1285.5	CD4T	1
reg1	1704.5__1018	1704.5	1018	CD4T	1
reg1	1707__1125.5	1707	1125.5	CD4T	1
reg1	1709__1056.5	1709	1056.5	Treg	1
reg1	1713.5__1038	1713.5	1038	Treg	1
reg1	1715__989	1715	989	Treg	1
reg1	1717.5__1140	1717.5	1140	Stroma	1
reg1	1719.5__1193.5	1719.5	1193.5	Stroma	1
reg1	1724__1020	1724	1020	Tumor	1
reg1	1725__1075.5	1725	1075.5	Tumor	1
reg1	1727.5__1105.5	1727.5	1105.5	Macrophage	1
reg1	1728.5__865.5	1728.5	865.5	Macrophage	1
reg1	1729__1152	1729	1152	Tumor	1
reg1	1731__1127.5	1731	1127.5	Tumor	1
reg1	1733__1052.5	1733	1052.5	Tumor	1
reg1	1735.5__920	1735.5	920	Tumor	1
reg1	1746__1239	1746	1239	Tumor	1
reg1	1750.5__1155	1750.5	1155	CD8T	1
reg1	1752__1133.5	1752	1133.5	Bcell	1
reg1	1758__1054.5	1758	1054.5	Bcell	1
reg1	1758__1108	1758	1108	Tumor	1
reg1	1764__1148.5	1764	1148.5	Tumor	1
reg1	1767__1098	1767	1098	CD8T	1
reg1	1773.5__1132	1773.5	1132	CD8T	1
reg2	956.5__733	956.5	733	CD4T	1
reg2	962.5__1684	962.5	1684	CD4T	1
reg2	963.5__1646	963.5	1646	CD4T	1
reg2	978__1718.5	978	1718.5	CD4T	1
reg2	1061.5__1576	1061.5	1576	CD4T	1
reg2	1109.5__970	1109.5	970	CD4T	1
reg2	543__632	543	632	Treg	1
reg2	611__1538.5	611	1538.5	Treg	1
reg2	694__736.5	694	736.5	Treg	1
reg2	804.5__861	804.5	861	Treg	1
reg2	817__563	817	563	Treg	1
reg2	884.5__604	884.5	604	Treg	1
reg2	889.5__1335.5	889.5	1335.5	Treg	1
reg2	956.5__1720	956.5	1720	Treg	1
reg2	995__982.5	995	982.5	Treg	1
reg2	995.5__1161.5	995.5	1161.5	Treg	1
reg2	999__1363	999	1363	Treg	1
reg2	1024__665	1024	665	Treg	1
reg2	1025__960.5	1025	960.5	Treg	1
reg2	1040.5__724	1040.5	724	Treg	1
reg2	1042__1683	1042	1683	Treg	1
reg2	1055__1680	1055	1680	Treg	1
reg2	1077__787	1077	787	Treg	1
reg2	1078.5__475	1078.5	475	Treg	1
reg2	1083.5__602.5	1083.5	602.5	Treg	1
reg2	1096__517.5	1096	517.5	Treg	1
reg2	1130__490.5	1130	490.5	Treg	1
reg2	1135__1346.5	1135	1346.5	Treg	1
reg2	1142__1691	1142	1691	Treg	1
reg2	1152.5__793	1152.5	793	Treg	1
reg2	1156__1523	1156	1523	Treg	1
reg2	1163.5__959.5	1163.5	959.5	Treg	1
reg2	1191.5__1126	1191.5	1126	Treg	1
reg2	1209__563	1209	563	Treg	1
reg2	1215.5__1404	1215.5	1404	Treg	1
reg2	1217__1705	1217	1705	Treg	1
reg2	1218__606.5	1218	606.5	Treg	1
reg2	1231__488	1231	488	Treg	1
reg2	1253__762	1253	762	Treg	1
reg2	1260__1401	1260	1401	Treg	1
reg2	1290__945.5	1290	945.5	Treg	1
reg2	1302.5__854.5	1302.5	854.5	Treg	1
reg2	1361.5__1509	1361.5	1509	Treg	1
reg2	1363__1295.5	1363	1295.5	Treg	1
reg2	1481__1251	1481	1251	Treg	1
reg2	1571.5__619.5	1571.5	619.5	Treg	1
reg2	1597__1030	1597	1030	Treg	1
reg2	566__690.5	566	690.5	Tumor	1
reg2	570.5__1342.5	570.5	1342.5	Tumor	1
reg2	582__1522	582	1522	Tumor	1
reg2	612.5__1354	612.5	1354	Tumor	1
reg2	682.5__1559	682.5	1559	Tumor	1
reg2	692.5__668	692.5	668	Tumor	1
reg2	751__1598.5	751	1598.5	Tumor	1
reg2	759.5__1530.5	759.5	1530.5	Tumor	1
reg2	769.5__1668	769.5	1668	Tumor	1
reg2	771.5__1460.5	771.5	1460.5	Tumor	1
reg2	777.5__1590.5	777.5	1590.5	Tumor	1
reg2	785.5__1634.5	785.5	1634.5	Tumor	1
reg2	791.5__1516.5	791.5	1516.5	Tumor	1
reg2	808.5__1673.5	808.5	1673.5	Tumor	1
reg2	815.5__1575.5	815.5	1575.5	Tumor	1
reg2	822__1268.5	822	1268.5	Tumor	1
reg2	822__1303	822	1303	Tumor	1
reg2	832__1019.5	832	1019.5	Tumor	1
reg2	838.5__543	838.5	543	Tumor	1
reg2	841.5__1506	841.5	1506	Tumor	1
reg2	842.5__809	842.5	809	Tumor	1
reg2	848__1261	848	1261	Tumor	1
reg2	849.5__1052	849.5	1052	Tumor	1
reg2	854.5__1200	854.5	1200	Tumor	1
reg2	855__1020	855	1020	Tumor	1
reg2	861__1547.5	861	1547.5	Tumor	1
reg2	865__809.5	865	809.5	Tumor	1
reg2	867__1253	867	1253	Tumor	1
reg2	870.5__1001	870.5	1001	Tumor	1
reg2	875.5__787	875.5	787	Tumor	1
reg2	877.5__713	877.5	713	Tumor	1
reg2	880.5__458.5	880.5	458.5	Tumor	1
reg2	881.5__1208	881.5	1208	Tumor	1
reg2	881.5__1378.5	881.5	1378.5	Tumor	1
reg2	884.5__877	884.5	877	Tumor	1
reg2	885__645	885	645	Tumor	1
reg2	886.5__846.5	886.5	846.5	Tumor	1
reg2	889.5__1687	889.5	1687	Tumor	1
reg2	890__398.5	890	398.5	Tumor	1
reg2	894.5__1218	894.5	1218	Tumor	1
reg2	896__531	896	531	Tumor	1
reg2	899__1533.5	899	1533.5	Tumor	1
reg2	906.5__782.5	906.5	782.5	Tumor	1
reg2	908__1362	908	1362	Tumor	1
reg2	915__1610	915	1610	Tumor	1
reg2	917__1222	917	1222	Tumor	1
reg2	918.5__916	918.5	916	Tumor	1
reg2	924.5__690	924.5	690	Tumor	1
reg2	930__586	930	586	Tumor	1
reg2	933__555	933	555	Tumor	1
reg2	933.5__1596	933.5	1596	Tumor	1
reg2	935.5__773.5	935.5	773.5	Tumor	1
reg2	939__1537	939	1537	Tumor	1
reg2	949.5__971	949.5	971	Tumor	1
reg2	951__1013	951	1013	Tumor	1
reg2	956.5__1108	956.5	1108	Tumor	1
reg2	965.5__1590.5	965.5	1590.5	Tumor	1
reg2	970__691	970	691	Tumor	1
reg2	975__1699.5	975	1699.5	Tumor	1
reg2	977__809.5	977	809.5	Tumor	1
reg2	979.5__1523.5	979.5	1523.5	Tumor	1
reg2	983.5__750.5	983.5	750.5	Tumor	1
reg2	984__453.5	984	453.5	Tumor	1
reg2	991__1326	991	1326	Tumor	1
reg2	993__1399	993	1399	Tumor	1
reg2	997.5__1747	997.5	1747	Tumor	1
reg2	1004__1445	1004	1445	Tumor	1
reg2	1010__545.5	1010	545.5	Tumor	1
reg2	1011.5__375	1011.5	375	Tumor	1
reg2	1012.5__1543.5	1012.5	1543.5	Tumor	1
reg2	1015.5__1402	1015.5	1402	Tumor	1
reg2	1019.5__1083	1019.5	1083	Tumor	1
reg2	1022__845.5	1022	845.5	Tumor	1
reg2	1025.5__1431	1025.5	1431	Tumor	1
reg2	1028__1141.5	1028	1141.5	Tumor	1
reg2	1029__372	1029	372	Tumor	1
reg2	1032__1531.5	1032	1531.5	Tumor	1
reg2	1033.5__344.5	1033.5	344.5	Tumor	1
reg2	1034.5__1563	1034.5	1563	Tumor	1
reg2	1038__1640.5	1038	1640.5	Tumor	1
reg2	1038__1073.5	1038	1073.5	Tumor	1
reg2	1039.5__1279	1039.5	1279	Tumor	1
reg2	1041__1010	1041	1010	Tumor	1
reg2	1042__525.5	1042	525.5	Tumor	1
reg2	1042__1043.5	1042	1043.5	Tumor	1
reg2	1045.5__1553	1045.5	1553	Tumor	1
reg2	1048.5__1585	1048.5	1585	Tumor	1
reg2	1050.5__975.5	1050.5	975.5	Tumor	1
reg2	1050.5__990.5	1050.5	990.5	Tumor	1
reg2	1052.5__1393	1052.5	1393	Tumor	1
reg2	1054.5__481	1054.5	481	Tumor	1
reg2	1055.5__605	1055.5	605	Tumor	1
reg2	1055.5__1277.5	1055.5	1277.5	Tumor	1
reg2	1067__1554	1067	1554	Tumor	1
reg2	1070__1743.5	1070	1743.5	Tumor	1
reg2	1070__1263	1070	1263	Tumor	1
reg2	1073.5__587	1073.5	587	Tumor	1
reg2	1080__1666.5	1080	1666.5	Tumor	1
reg2	1082.5__1573	1082.5	1573	Tumor	1
reg2	1086__1425.5	1086	1425.5	Tumor	1
reg2	1087__1363	1087	1363	Tumor	1
reg2	1089__381	1089	381	Tumor	1
reg2	1092.5__358	1092.5	358	Tumor	1
reg2	1094.5__1678.5	1094.5	1678.5	Tumor	1
reg2	1095__830	1095	830	Tumor	1
reg2	1099__1566	1099	1566	Tumor	1
reg2	1103__1379	1103	1379	Tumor	1
reg2	1106__896.5	1106	896.5	Tumor	1
reg2	1106.5__566	1106.5	566	Tumor	1
reg2	1109.5__1402	1109.5	1402	Tumor	1
reg2	1111__1312.5	1111	1312.5	Tumor	1
reg2	1113.5__1716	1113.5	1716	Tumor	1
reg2	1115__1483	1115	1483	Tumor	1
reg2	1116__1182.5	1116	1182.5	Tumor	1
reg2	1116.5__625	1116.5	625	Tumor	1
reg2	1119__362	1119	362	Tumor	1
reg2	1119__1558.5	1119	1558.5	Tumor	1
reg2	1123.5__478.5	1123.5	478.5	Tumor	1
reg2	1126__457	1126	457	Tumor	1
reg2	1127.5__894	1127.5	894	Tumor	1
reg2	1128__751	1128	751	Tumor	1
reg2	1128.5__1261.5	1128.5	1261.5	Tumor	1
reg2	1130__1574	1130	1574	Tumor	1
reg2	1133__944.5	1133	944.5	Tumor	1
reg2	1136__965.5	1136	965.5	Tumor	1
reg2	1136.5__1488.5	1136.5	1488.5	Tumor	1
reg2	1138.5__1614.5	1138.5	1614.5	Tumor	1
reg2	1138.5__772	1138.5	772	Tumor	1
reg2	1140.5__604	1140.5	604	Tumor	1
reg2	1142.5__1559	1142.5	1559	Tumor	1
reg2	1143__1718	1143	1718	Tumor	1
reg2	1144__363.5	1144	363.5	Tumor	1
reg2	1150__455	1150	455	Tumor	1
reg2	1154__740	1154	740	Tumor	1
reg2	1157.5__983	1157.5	983	Tumor	1
reg2	1157.5__1588.5	1157.5	1588.5	Tumor	1
reg2	1160.5__373.5	1160.5	373.5	Tumor	1
reg2	1161.5__541.5	1161.5	541.5	Tumor	1
reg2	1164__1213.5	1164	1213.5	Tumor	1
reg2	1167__599.5	1167	599.5	Tumor	1
reg2	1167.5__1312	1167.5	1312	Tumor	1
reg2	1173__522.5	1173	522.5	Tumor	1
reg2	1173__705	1173	705	Tumor	1
reg2	1174.5__1384	1174.5	1384	Tumor	1
reg2	1176__652	1176	652	Tumor	1
reg2	1176.5__1590.5	1176.5	1590.5	Tumor	1
reg2	1179__974.5	1179	974.5	Tumor	1
reg2	1179.5__905.5	1179.5	905.5	Tumor	1
reg2	1180__499.5	1180	499.5	Tumor	1
reg2	1181.5__579.5	1181.5	579.5	Tumor	1
reg2	1182.5__1647.5	1182.5	1647.5	Tumor	1
reg2	1186__1668.5	1186	1668.5	Tumor	1
reg2	1186__477	1186	477	Tumor	1
reg2	1189__1350	1189	1350	Tumor	1
reg2	1189__1392.5	1189	1392.5	Tumor	1
reg2	1190.5__409	1190.5	409	Tumor	1
reg2	1195.5__1003	1195.5	1003	Tumor	1
reg2	1199__1330.5	1199	1330.5	Tumor	1
reg2	1201__1655	1201	1655	Tumor	1
reg2	1202.5__454.5	1202.5	454.5	Tumor	1
reg2	1211__583.5	1211	583.5	Tumor	1
reg2	1212.5__827.5	1212.5	827.5	Tumor	1
reg2	1215.5__473.5	1215.5	473.5	Tumor	1
reg2	1218.5__407.5	1218.5	407.5	Tumor	1
reg2	1222__1337	1222	1337	Tumor	1
reg2	1222.5__1363.5	1222.5	1363.5	Tumor	1
reg2	1224__1690	1224	1690	Tumor	1
reg2	1228.5__1310	1228.5	1310	Tumor	1
reg2	1229__1528	1229	1528	Tumor	1
reg2	1229.5__460	1229.5	460	Tumor	1
reg2	1234.5__1276	1234.5	1276	Tumor	1
reg2	1236__1508	1236	1508	Tumor	1
reg2	1239__1455	1239	1455	Tumor	1
reg2	1249__454	1249	454	Tumor	1
reg2	1257__1253	1257	1253	Tumor	1
reg2	1258.5__1311	1258.5	1311	Tumor	1
reg2	1265.5__1281	1265.5	1281	Tumor	1
reg2	1269__436	1269	436	Tumor	1
reg2	1284__1370	1284	1370	Tumor	1
reg2	1285.5__523.5	1285.5	523.5	Tumor	1
reg2	1287__1447.5	1287	1447.5	Tumor	1
reg2	1293.5__722	1293.5	722	Tumor	1
reg2	1299__1093.5	1299	1093.5	Tumor	1
reg2	1300__433.5	1300	433.5	Tumor	1
reg2	1313__713.5	1313	713.5	Tumor	1
reg2	1316.5__1326	1316.5	1326	Tumor	1
reg2	1317.5__821	1317.5	821	Tumor	1
reg2	1318__1409.5	1318	1409.5	Tumor	1
reg2	1324__696	1324	696	Tumor	1
reg2	1337__1525	1337	1525	Tumor	1
reg2	1339__1363	1339	1363	Tumor	1
reg2	1342.5__1275.5	1342.5	1275.5	Tumor	1
reg2	1369__785.5	1369	785.5	Tumor	1
reg2	1371.5__1240.5	1371.5	1240.5	Tumor	1
reg2	1372__803	1372	803	Tumor	1
reg2	1374__916	1374	916	Tumor	1
reg2	1377.5__831	1377.5	831	Tumor	1
reg2	1386__1511	1386	1511	Tumor	1
reg2	1400__1231	1400	1231	Tumor	1
reg2	1402__1108.5	1402	1108.5	Tumor	1
reg2	1414__957	1414	957	Tumor	1
reg2	1415.5__864.5	1415.5	864.5	Tumor	1
reg2	1418__987	1418	987	Tumor	1
reg2	1419.5__1248	1419.5	1248	Tumor	1
reg2	1423__1264.5	1423	1264.5	Tumor	1
reg2	1438__1250.5	1438	1250.5	Tumor	1
reg2	1440__1367.5	1440	1367.5	Tumor	1
reg2	1447.5__952	1447.5	952	Tumor	1
reg2	1454__589	1454	589	Tumor	1
reg2	1455__835.5	1455	835.5	Tumor	1
reg2	1456__1412	1456	1412	Tumor	1
reg2	1465__1343.5	1465	1343.5	Tumor	1
reg2	1480__551.5	1480	551.5	Tumor	1
reg2	1481.5__1412	1481.5	1412	Tumor	1
reg2	1485.5__1074.5	1485.5	1074.5	Tumor	1
reg2	1498.5__992	1498.5	992	Tumor	1
reg2	1500.5__1416.5	1500.5	1416.5	Tumor	1
reg2	1501__541	1501	541	Tumor	1
reg2	1503__1235	1503	1235	Tumor	1
reg2	1510__1266	1510	1266	Tumor	1
reg2	1520__1326	1520	1326	Tumor	1
reg2	1523.5__877.5	1523.5	877.5	Tumor	1
reg2	1545__1330	1545	1330	Tumor	1
reg2	1547.5__1271.5	1547.5	1271.5	Tumor	1
reg2	1548__1114	1548	1114	Tumor	1
reg2	1549__882.5	1549	882.5	Tumor	1
reg2	1551__1294	1551	1294	Tumor	1
reg2	1573__1374	1573	1374	Tumor	1
reg2	1583__1256	1583	1256	Tumor	1
reg2	1584__1167	1584	1167	Tumor	1
reg2	1584.5__971	1584.5	971	Tumor	1
reg2	1588.5__866	1588.5	866	Tumor	1
reg2	1595__1230	1595	1230	Tumor	1
reg2	1595.5__838.5	1595.5	838.5	Tumor	1
reg2	1595.5__990	1595.5	990	Tumor	1
reg2	1608.5__1078	1608.5	1078	Tumor	1
reg2	1610.5__1376	1610.5	1376	Tumor	1
reg2	1629__1283	1629	1283	Tumor	1
reg2	1682.5__871	1682.5	871	Tumor	1
reg2	1699__1015	1699	1015	Tumor	1
reg2	1701.5__1085.5	1701.5	1085.5	Tumor	1
reg2	287.5__1048.5	287.5	1048.5	CD8T	1
reg2	292__990	292	990	CD8T	1
reg2	292__1086	292	1086	CD8T	1
reg2	294__855	294	855	CD4T	1
reg2	294__1009	294	1009	CD4T	1
reg2	295__1037.5	295	1037.5	CD4T	1
reg2	295__1067.5	295	1067.5	Treg	1
reg2	295.5__956	295.5	956	Treg	1
reg2	301__840.5	301	840.5	Treg	1
reg2	306__825	306	825	Stroma	1
reg2	306__912.5	306	912.5	Stroma	1
reg2	307.5__976.5	307.5	976.5	Tumor	1
reg2	309__1219.5	309	1219.5	Tumor	1
reg2	309__1238.5	309	1238.5	Macrophage	1
reg2	309.5__1021	309.5	1021	Macrophage	1
reg2	312__927	312	927	Tumor	1
reg2	312.5__1054	312.5	1054	Tumor	1
reg2	314__810	314	810	Tumor	1
reg2	314__1108.5	314	1108.5	Tumor	1
reg2	319.5__1086	319.5	1086	Tumor	1
reg2	320.5__994	320.5	994	CD8T	1
reg2	324__902.5	324	902.5	Bcell	1
reg2	324__1284	324	1284	Bcell	1
reg2	325__1043.5	325	1043.5	Tumor	1
reg2	327.5__947	327.5	947	Tumor	1
reg2	329.5__823.5	329.5	823.5	Macrophage	1
reg2	332__1059.5	332	1059.5	Macrophage	1
reg2	332.5__1084.5	332.5	1084.5	Macrophage	1
reg2	338.5__1119.5	338.5	1119.5	Bcell	1
reg2	338.5__1304	338.5	1304	Bcell	1
reg2	339__882.5	339	882.5	Bcell	1
reg2	342__914	342	914	Stroma	1
reg2	357.5__1335	357.5	1335	Stroma	1
reg2	359.5__931	359.5	931	Stroma	1
reg2	365__945.5	365	945.5	CD8T	1
reg2	367__960.5	367	960.5	CD8T	1
reg2	378__876.5	378	876.5	CD8T	1
reg2	383.5__724.5	383.5	724.5	CD4T	1
reg2	399__1373	399	1373	CD4T	1
reg2	400__869.5	400	869.5	CD4T	1
reg2	404.5__1397.5	404.5	1397.5	Tumor	1
reg2	412__922	412	922	Tumor	1
reg2	422__1383.5	422	1383.5	Tumor	1
reg2	431__1433	431	1433	Tumor	1
reg2	432__872	432	872	Tumor	1
reg2	432.5__1404.5	432.5	1404.5	CD8T	1
reg2	452.5__1018	452.5	1018	Bcell	1
reg2	456__1430.5	456	1430.5	Bcell	1
reg2	457__729	457	729	Tumor	1
reg2	457.5__664.5	457.5	664.5	Tumor	1
reg2	459__640	459	640	Macrophage	1
reg2	463.5__699	463.5	699	Macrophage	1
reg2	464__759.5	464	759.5	Macrophage	1
reg2	470__676	470	676	Bcell	1
reg2	471.5__719	471.5	719	Bcell	1
reg2	472__1042	472	1042	Bcell	1
reg2	477__1079.5	477	1079.5	Stroma	1
reg2	478.5__1014	478.5	1014	Stroma	1
reg2	478.5__1109.5	478.5	1109.5	Stroma	1
reg2	483__610.5	483	610.5	CD8T	1
reg2	484__951.5	484	951.5	CD8T	1
reg2	484.5__815.5	484.5	815.5	CD8T	1
reg2	485.5__770	485.5	770	CD4T	1
reg2	487__742.5	487	742.5	CD4T	1
reg2	491.5__630.5	491.5	630.5	CD4T	1
reg2	493.5__591	493.5	591	Tumor	1
reg2	498.5__1277	498.5	1277	Tumor	1
reg2	499.5__964.5	499.5	964.5	Tumor	1
reg2	502.5__859.5	502.5	859.5	Tumor	1
reg2	503__779.5	503	779.5	Tumor	1
reg2	505.5__716	505.5	716	CD8T	1
reg2	507.5__673	507.5	673	Bcell	1
reg2	508__993	508	993	Bcell	1
reg2	508__1210.5	508	1210.5	Tumor	1
reg2	511__753	511	753	Tumor	1
reg2	512.5__563.5	512.5	563.5	Macrophage	1
reg2	516__773	516	773	Macrophage	1
reg2	521__631.5	521	631.5	Macrophage	1
reg2	522.5__787	522.5	787	Bcell	1
reg2	523__728	523	728	Bcell	1
reg2	527__579.5	527	579.5	Bcell	1
reg2	527__609	527	609	Stroma	1
reg2	527__879.5	527	879.5	Stroma	1
reg2	528.5__823.5	528.5	823.5	Stroma	1
reg2	530.5__798.5	530.5	798.5	CD8T	1
reg2	531__755	531	755	CD8T	1
reg2	537__1488.5	537	1488.5	CD8T	1
reg2	539__775.5	539	775.5	CD4T	1
reg2	539.5__566.5	539.5	566.5	CD4T	1
reg2	540__1058	540	1058	CD8T	1
reg2	541__544.5	541	544.5	CD8T	1
reg2	545__852	545	852	Stroma	1
reg2	546__752	546	752	CD8T	1
reg2	555__596.5	555	596.5	CD8T	1
reg2	555__797	555	797	CD8T	1
reg2	555.5__818.5	555.5	818.5	CD4T	1
reg2	556.5__734	556.5	734	CD4T	1
reg2	557__1510.5	557	1510.5	CD8T	1
reg2	557.5__611	557.5	611	CD8T	1
reg2	559.5__544	559.5	544	Stroma	1
reg2	560__645.5	560	645.5	CD8T	1
reg2	560__1004.5	560	1004.5	CD8T	1
reg2	560.5__567.5	560.5	567.5	CD8T	1
reg2	561__778.5	561	778.5	CD4T	1
reg2	562__498.5	562	498.5	CD4T	1
reg2	562.5__626.5	562.5	626.5	CD8T	1
reg2	567__516	567	516	CD8T	1
reg2	567__1085.5	567	1085.5	Stroma	1
reg2	570.5__551	570.5	551	CD8T	1
reg2	576.5__806	576.5	806	CD8T	1
