region	XYcellid	X:X	Y:Y	celltypes	efact
reg1	565.5__1394	565.5	1394	Tumor	1
reg1	612__929.5	612	929.5	Tumor	1
reg1	625.5__1557	625.5	1557	Tumor	1
reg1	629__534	629	534	Tumor	1
reg1	643.5__948.5	643.5	948.5	Tumor	1
reg1	643.5__1249	643.5	1249	Tumor	1
reg1	648.5__930.5	648.5	930.5	Tumor	1
reg1	649__476	649	476	Tumor	1
reg1	663.5__1293	663.5	1293	Tumor	1
reg1	665__1155	665	1155	Tumor	1
reg1	670__1072	670	1072	Tumor	1
reg1	670.5__1229.5	670.5	1229.5	Tumor	1
reg1	674__1349	674	1349	Tumor	1
reg1	682.5__1401	682.5	1401	Tumor	1
reg1	682.5__1428.5	682.5	1428.5	Tumor	1
reg1	691__1337	691	1337	Tumor	1
reg1	693.5__635	693.5	635	Tumor	1
reg1	702.5__1103	702.5	1103	Tumor	1
reg1	704.5__1133	704.5	1133	Tumor	1
reg1	705.5__534	705.5	534	Tumor	1
reg1	706.5__1362.5	706.5	1362.5	Tumor	1
reg1	709__636.5	709	636.5	Tumor	1
reg1	710__1465.5	710	1465.5	Tumor	1
reg1	711__567.5	711	567.5	Tumor	1
reg1	716__596.5	716	596.5	Tumor	1
reg1	719__1114.5	719	1114.5	Tumor	1
reg1	719.5__1150.5	719.5	1150.5	Tumor	1
reg1	722__521.5	722	521.5	Tumor	1
reg1	724__1269	724	1269	Tumor	1
reg1	725__1092.5	725	1092.5	Tumor	1
reg1	726.5__1137	726.5	1137	Tumor	1
reg1	729.5__413.5	729.5	413.5	Tumor	1
reg1	737.5__1579.5	737.5	1579.5	Tumor	1
reg1	748__1461	748	1461	Tumor	1
reg1	757__1418	757	1418	Tumor	1
reg1	760__698	760	698	Tumor	1
reg1	760.5__1575	760.5	1575	Tumor	1
reg1	766.5__549.5	766.5	549.5	Tumor	1
reg1	770__1462.5	770	1462.5	Tumor	1
reg1	772__950.5	772	950.5	Tumor	1
reg1	779__668.5	779	668.5	Tumor	1
reg1	779.5__646.5	779.5	646.5	Tumor	1
reg1	780__604.5	780	604.5	Tumor	1
reg1	783__336.5	783	336.5	Tumor	1
reg1	784__1042.5	784	1042.5	Tumor	1
reg1	786.5__372.5	786.5	372.5	Tumor	1
reg1	787__1546.5	787	1546.5	Tumor	1
reg1	793__444	793	444	Tumor	1
reg1	793__491	793	491	Tumor	1
reg1	795.5__345	795.5	345	Tumor	1
reg1	800__415	800	415	Tumor	1
reg1	811__555	811	555	Tumor	1
reg1	811__1359.5	811	1359.5	Tumor	1
reg1	820.5__1544	820.5	1544	Tumor	1
reg1	824__491	824	491	Tumor	1
reg1	825__1048	825	1048	Tumor	1
reg1	829.5__1613	829.5	1613	Tumor	1
reg1	830__390	830	390	Tumor	1
reg1	830.5__652.5	830.5	652.5	Tumor	1
reg1	840__1016	840	1016	Tumor	1
reg1	840.5__1570	840.5	1570	Tumor	1
reg1	842__415.5	842	415.5	Tumor	1
reg1	842.5__492.5	842.5	492.5	Tumor	1
reg1	845.5__680	845.5	680	Tumor	1
reg1	847__1546	847	1546	Tumor	1
reg1	848.5__1490.5	848.5	1490.5	Tumor	1
reg1	861__1320	861	1320	Tumor	1
reg1	863__385	863	385	Tumor	1
reg1	868__1447.5	868	1447.5	Tumor	1
reg1	889.5__351.5	889.5	351.5	Tumor	1
reg1	889.5__1341	889.5	1341	Tumor	1
reg1	890.5__326.5	890.5	326.5	Tumor	1
reg1	891__397.5	891	397.5	Tumor	1
reg1	900.5__375.5	900.5	375.5	Tumor	1
reg1	900.5__1214	900.5	1214	Tumor	1
reg1	906__1373.5	906	1373.5	Tumor	1
reg1	909__1011.5	909	1011.5	Tumor	1
reg1	911__355.5	911	355.5	Tumor	1
reg1	912.5__1447.5	912.5	1447.5	Tumor	1
reg1	914__480.5	914	480.5	Tumor	1
reg1	920.5__692	920.5	692	Tumor	1
reg1	921.5__1436	921.5	1436	Tumor	1
reg1	922.5__348	922.5	348	Tumor	1
reg1	924.5__1218.5	924.5	1218.5	Tumor	1
reg1	928.5__1102.5	928.5	1102.5	Tumor	1
reg1	931.5__1299	931.5	1299	Tumor	1
reg1	934__1524	934	1524	Tumor	1
reg1	938.5__322.5	938.5	322.5	Tumor	1
reg1	938.5__1565.5	938.5	1565.5	Tumor	1
reg1	939__1336	939	1336	Tumor	1
reg1	939.5__1497.5	939.5	1497.5	Tumor	1
reg1	940.5__1081.5	940.5	1081.5	Tumor	1
reg1	941.5__1355.5	941.5	1355.5	Tumor	1
reg1	944.5__352	944.5	352	Tumor	1
reg1	950__1718.5	950	1718.5	Tumor	1
reg1	951__503	951	503	Tumor	1
reg1	955__1532	955	1532	Tumor	1
reg1	957.5__476	957.5	476	Tumor	1
reg1	957.5__1183.5	957.5	1183.5	Tumor	1
reg1	958__578	958	578	Tumor	1
reg1	961__594.5	961	594.5	Tumor	1
reg1	962__1569	962	1569	Tumor	1
reg1	962.5__1737.5	962.5	1737.5	Tumor	1
reg1	962.5__1521	962.5	1521	Tumor	1
reg1	963__1664.5	963	1664.5	Tumor	1
reg1	975__1423	975	1423	Tumor	1
reg1	975.5__654.5	975.5	654.5	Tumor	1
reg1	976.5__546	976.5	546	Tumor	1
reg1	977__1393	977	1393	Tumor	1
reg1	978__700	978	700	Tumor	1
reg1	979.5__1535.5	979.5	1535.5	Tumor	1
reg1	981.5__1154	981.5	1154	Tumor	1
reg1	982__1271.5	982	1271.5	Tumor	1
reg1	985__944	985	944	Tumor	1
reg1	985.5__382	985.5	382	Tumor	1
reg1	986.5__1448	986.5	1448	Tumor	1
reg1	989.5__1289.5	989.5	1289.5	Tumor	1
reg1	995__529	995	529	Tumor	1
reg1	1000__350.5	1000	350.5	Tumor	1
reg1	1002.5__1197.5	1002.5	1197.5	Tumor	1
reg1	1009__556	1009	556	Tumor	1
reg1	1014.5__820.5	1014.5	820.5	Tumor	1
reg1	1015__912	1015	912	Tumor	1
reg1	1016__678	1016	678	Tumor	1
reg1	1020.5__379	1020.5	379	Tumor	1
reg1	1023.5__1711	1023.5	1711	Tumor	1
reg1	1027__583	1027	583	Tumor	1
reg1	1028__405.5	1028	405.5	Tumor	1
reg1	1029__345.5	1029	345.5	Tumor	1
reg1	1030__550	1030	550	Tumor	1
reg1	1032.5__782.5	1032.5	782.5	Tumor	1
reg1	1037.5__560.5	1037.5	560.5	Tumor	1
reg1	1043.5__1636.5	1043.5	1636.5	Tumor	1
reg1	1045__1618.5	1045	1618.5	Tumor	1
reg1	1047__486	1047	486	Tumor	1
reg1	1047__892	1047	892	Tumor	1
reg1	1051.5__402.5	1051.5	402.5	Tumor	1
reg1	1052__318.5	1052	318.5	Tumor	1
reg1	1059.5__1262.5	1059.5	1262.5	Tumor	1
reg1	1062__601	1062	601	Tumor	1
reg1	1066.5__533.5	1066.5	533.5	Tumor	1
reg1	1081__1527.5	1081	1527.5	Tumor	1
reg1	1081.5__1045	1081.5	1045	Tumor	1
reg1	1088__854.5	1088	854.5	Tumor	1
reg1	1092__1485	1092	1485	Tumor	1
reg1	1098.5__626.5	1098.5	626.5	Tumor	1
reg1	1103.5__1411.5	1103.5	1411.5	Tumor	1
reg1	1106.5__712.5	1106.5	712.5	Tumor	1
reg1	1110__811	1110	811	Tumor	1
reg1	1112.5__1616.5	1112.5	1616.5	Tumor	1
reg1	1116__889.5	1116	889.5	Tumor	1
reg1	1116__904.5	1116	904.5	Tumor	1
reg1	1120.5__396.5	1120.5	396.5	Tumor	1
reg1	1123.5__1584.5	1123.5	1584.5	Tumor	1
reg1	1125__792	1125	792	Tumor	1
reg1	1125.5__736.5	1125.5	736.5	Tumor	1
reg1	1127.5__1559.5	1127.5	1559.5	Tumor	1
reg1	1132__1622	1132	1622	Tumor	1
reg1	1134.5__751.5	1134.5	751.5	Tumor	1
reg1	1136__715	1136	715	Tumor	1
reg1	1144.5__1602.5	1144.5	1602.5	Tumor	1
reg1	1144.5__780.5	1144.5	780.5	Tumor	1
reg1	1147__557	1147	557	Tumor	1
reg1	1150__1583.5	1150	1583.5	Tumor	1
reg1	1159__774.5	1159	774.5	Tumor	1
reg1	1173.5__595.5	1173.5	595.5	Tumor	1
reg1	1177.5__699	1177.5	699	Tumor	1
reg1	1192__898	1192	898	Tumor	1
reg1	1197__676	1197	676	Tumor	1
reg1	1197__859.5	1197	859.5	Tumor	1
reg1	1197.5__1566.5	1197.5	1566.5	Tumor	1
reg1	1200.5__779.5	1200.5	779.5	Tumor	1
reg1	1200.5__1554	1200.5	1554	Tumor	1
reg1	1203__1535	1203	1535	Tumor	1
reg1	1226__1608	1226	1608	Tumor	1
reg1	1241.5__747.5	1241.5	747.5	Tumor	1
reg1	1242__696	1242	696	Tumor	1
reg1	1244.5__1624.5	1244.5	1624.5	Tumor	1
reg1	1248__1457	1248	1457	Tumor	1
reg1	1259__780	1259	780	Tumor	1
reg1	1289.5__707.5	1289.5	707.5	Tumor	1
reg1	1290.5__1584.5	1290.5	1584.5	Tumor	1
reg1	1292__1343.5	1292	1343.5	Tumor	1
reg1	1297.5__1629	1297.5	1629	Tumor	1
reg1	1299__1358.5	1299	1358.5	Tumor	1
reg1	1305__1427.5	1305	1427.5	Tumor	1
reg1	1333.5__1438	1333.5	1438	Tumor	1
reg1	1337.5__1593.5	1337.5	1593.5	Tumor	1
reg1	1341.5__733.5	1341.5	733.5	Tumor	1
reg1	1360.5__1299.5	1360.5	1299.5	Tumor	1
reg1	1361__1171	1361	1171	Tumor	1
reg1	1379.5__1363	1379.5	1363	Tumor	1
reg1	1380.5__805.5	1380.5	805.5	Tumor	1
reg1	1386__1049.5	1386	1049.5	Tumor	1
reg1	1393__1331.5	1393	1331.5	Tumor	1
reg1	1393.5__1134.5	1393.5	1134.5	Tumor	1
reg1	1394__1020	1394	1020	Tumor	1
reg1	1394.5__770.5	1394.5	770.5	Tumor	1
reg1	1402__1570	1402	1570	Tumor	1
reg1	1413.5__1420.5	1413.5	1420.5	Tumor	1
reg1	1417__1434	1417	1434	Tumor	1
reg1	1456.5__1029	1456.5	1029	Tumor	1
reg1	1465__1012.5	1465	1012.5	Tumor	1
reg1	1471.5__1212.5	1471.5	1212.5	Tumor	1
reg1	1487__1364.5	1487	1364.5	Tumor	1
reg1	1488.5__902.5	1488.5	902.5	Tumor	1
reg1	1506__1282	1506	1282	Tumor	1
reg1	1522__1354.5	1522	1354.5	Tumor	1
reg1	1535.5__1366.5	1535.5	1366.5	Tumor	1
reg1	1551.5__1376.5	1551.5	1376.5	Tumor	1
reg1	1554__1357	1554	1357	Tumor	1
reg1	1597.5__1357	1597.5	1357	Tumor	1
reg1	360__932	360	932	Macrophage	1
reg1	360__1017	360	1017	Macrophage	1
reg1	360.5__1042	360.5	1042	Macrophage	1
reg1	369__1069.5	369	1069.5	Macrophage	1
reg1	370.5__914.5	370.5	914.5	Macrophage	1
reg1	371.5__972.5	371.5	972.5	Macrophage	1
reg1	372.5__1000.5	372.5	1000.5	Macrophage	1
reg1	376.5__883	376.5	883	Macrophage	1
reg1	380.5__1099	380.5	1099	Macrophage	1
reg1	382.5__1028	382.5	1028	Macrophage	1
reg1	383__1063	383	1063	Macrophage	1
reg1	385__980	385	980	Macrophage	1
reg1	385__1201	385	1201	Macrophage	1
reg1	386.5__1163	386.5	1163	Macrophage	1
reg1	388.5__1000	388.5	1000	Macrophage	1
reg1	390.5__959	390.5	959	Macrophage	1
reg1	392__1119	392	1119	Macrophage	1
reg1	394.5__845.5	394.5	845.5	Macrophage	1
reg1	398__775	398	775	Macrophage	1
reg1	398.5__1096.5	398.5	1096.5	Macrophage	1
reg1	399__1057	399	1057	Macrophage	1
reg1	399__1217.5	399	1217.5	Macrophage	1
reg1	399.5__1042	399.5	1042	Macrophage	1
reg1	402.5__982	402.5	982	Macrophage	1
reg1	403__933.5	403	933.5	Macrophage	1
reg1	407__904	407	904	Macrophage	1
reg1	407__1075.5	407	1075.5	Macrophage	1
reg1	410__882	410	882	Macrophage	1
reg1	410__1123.5	410	1123.5	Macrophage	1
reg1	410__1231	410	1231	Macrophage	1
reg1	412.5__863.5	412.5	863.5	Macrophage	1
reg1	413.5__1002	413.5	1002	Macrophage	1
reg1	413.5__1030	413.5	1030	Macrophage	1
reg1	415.5__954	415.5	954	Macrophage	1
reg1	416__1053.5	416	1053.5	Macrophage	1
reg1	416__1208	416	1208	Macrophage	1
reg1	419.5__1315	419.5	1315	Macrophage	1
reg1	422__1099	422	1099	Macrophage	1
reg1	424__1122	424	1122	Macrophage	1
reg1	427__894.5	427	894.5	Macrophage	1
reg1	429.5__747.5	429.5	747.5	Macrophage	1
reg1	430__1297	430	1297	Macrophage	1
reg1	430.5__1048	430.5	1048	Macrophage	1
reg1	432.5__871	432.5	871	Macrophage	1
reg1	434__1216	434	1216	Macrophage	1
reg1	434.5__1025	434.5	1025	Macrophage	1
reg1	437.5__1287.5	437.5	1287.5	Macrophage	1
reg1	438__1186.5	438	1186.5	Macrophage	1
reg1	439__1129	439	1129	Macrophage	1
reg1	440__723.5	440	723.5	Macrophage	1
reg1	440.5__1087.5	440.5	1087.5	Macrophage	1
reg1	440.5__1257	440.5	1257	Macrophage	1
reg1	441__1204	441	1204	Macrophage	1
reg1	441.5__1108.5	441.5	1108.5	Macrophage	1
reg1	444.5__1351.5	444.5	1351.5	Macrophage	1
reg1	445__1319	445	1319	Macrophage	1
reg1	446__1135	446	1135	Macrophage	1
reg1	447__895.5	447	895.5	Macrophage	1
reg1	449.5__1024.5	449.5	1024.5	Macrophage	1
reg1	450.5__832.5	450.5	832.5	Macrophage	1
reg1	451__1050.5	451	1050.5	Macrophage	1
reg1	452__1157.5	452	1157.5	Macrophage	1
reg1	452.5__875.5	452.5	875.5	Macrophage	1
reg1	454__742.5	454	742.5	Macrophage	1
reg1	454__794	454	794	Macrophage	1
reg1	454__1220.5	454	1220.5	Macrophage	1
reg1	457__698	457	698	Macrophage	1
reg1	458__1086.5	458	1086.5	Macrophage	1
reg1	458.5__855	458.5	855	Macrophage	1
reg1	459__975.5	459	975.5	Macrophage	1
reg1	459__1314	459	1314	Macrophage	1
reg1	460.5__1250	460.5	1250	Macrophage	1
reg1	462__1119	462	1119	Macrophage	1
reg1	462__1199.5	462	1199.5	Macrophage	1
reg1	465__1022.5	465	1022.5	Macrophage	1
reg1	465.5__1240.5	465.5	1240.5	Macrophage	1
reg1	466__1349	466	1349	Macrophage	1
reg1	469.5__736.5	469.5	736.5	Macrophage	1
reg1	471.5__1315.5	471.5	1315.5	Macrophage	1
reg1	472__892.5	472	892.5	Macrophage	1
reg1	472.5__646.5	472.5	646.5	Treg	1
reg1	473__949.5	473	949.5	Treg	1
reg1	475.5__799.5	475.5	799.5	Treg	1
reg1	475.5__1208	475.5	1208	Treg	1
reg1	477__678	477	678	Treg	1
reg1	477.5__1142	477.5	1142	Treg	1
reg1	478__1266.5	478	1266.5	Treg	1
reg1	478.5__1088	478.5	1088	Treg	1
reg1	479__879	479	879	Treg	1
reg1	479.5__756.5	479.5	756.5	Treg	1
reg1	480__853	480	853	Treg	1
reg1	480.5__999	480.5	999	Treg	1
reg1	481.5__1160.5	481.5	1160.5	Treg	1
reg1	482__1121	482	1121	Treg	1
reg1	482.5__1407	482.5	1407	Treg	1
reg1	483.5__905.5	483.5	905.5	Treg	1
reg1	485__735	485	735	Treg	1
reg1	485__1185.5	485	1185.5	Treg	1
reg1	487.5__1287.5	487.5	1287.5	Treg	1
reg1	488__1220.5	488	1220.5	Treg	1
reg1	488.5__929.5	488.5	929.5	Treg	1
reg1	489__697.5	489	697.5	Treg	1
reg1	489.5__1071	489.5	1071	Treg	1
reg1	490__967.5	490	967.5	Treg	1
reg1	490__1042	490	1042	Treg	1
reg1	490.5__639.5	490.5	639.5	Treg	1
reg1	492.5__1317.5	492.5	1317.5	Treg	1
reg1	493__727.5	493	727.5	Treg	1
reg1	493__1139	493	1139	Treg	1
reg1	493__1205	493	1205	Treg	1
reg1	495.5__951	495.5	951	Treg	1
reg1	496__909	496	909	Treg	1
reg1	498__585.5	498	585.5	Treg	1
reg1	499.5__705	499.5	705	Treg	1
reg1	501__830	501	830	Treg	1
reg1	501__881	501	881	Bcell	1
reg1	502__764.5	502	764.5	Bcell	1
reg1	502__1117	502	1117	Bcell	1
