Spots	Groups	Patients	cell_left	cell_mid	cell_right	N_mid	N_tot	ratio_mean	quant	mean_rand	sd_rand	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
1	1	1	Bcell	Bcell	CD4T	219	2327	3.25572174481916	100	1.36443369242537	0.102412400289044	1.16006915104066	1.20319071678974	1.29326430036339	1.36886091087295	1.43963559001446	1.54909922065772	1.56751737575675
1	1	1	Bcell	CD4T	CD4T	229	2327	0.91512728662748	0	1.34981394619874	0.0888630489289146	1.14155654640601	1.21520342026886	1.29210100239314	1.34882947566886	1.40513623839137	1.48267225735206	1.57804406721684
1	1	1	Bcell	CD8T	CD4T	367	2327	0.98219356311475	0	1.37392840846101	0.0730191929957952	1.22338783561342	1.26150748111078	1.32126726285628	1.37899761962477	1.43123040181408	1.4852664420824	1.53893899535958
1	1	1	Bcell	Macrophage	CD4T	264	2327	1.05018882039308	0	1.37104456606202	0.0868145429564844	1.20609729368475	1.24511468783087	1.30634746404828	1.36568653582662	1.43054040955634	1.53281821828619	1.57541612721982
1	1	1	Bcell	Stroma	CD4T	197	2327	1.60630781662594	97	1.36838275530797	0.107388853657283	1.14590656772771	1.19786460261785	1.30111280376876	1.36397440147003	1.42506073045773	1.56537934619057	1.62487220244867
1	1	1	Bcell	Treg	CD4T	303	2327	1.5854868798049	100	1.3901468137145	0.0873023203202771	1.20568340656228	1.23825323061202	1.33119153589312	1.38610588193547	1.45870998038357	1.52342570400252	1.54176081964697
1	1	1	Bcell	Tumor	CD4T	748	2327	1.12200671886452	0	1.37077494692323	0.0370272629372487	1.30525525932444	1.31059342473074	1.34352354244349	1.36746031244417	1.39599207062543	1.43268674792772	1.4554138752281
1	1	1	Bcell	Bcell	CD8T	219	2327	3.04949964776821	100	1.28980486626393	0.0959228161799139	1.08775919973494	1.14112665943813	1.23059792656466	1.28353562380688	1.34118055388122	1.45689535601586	1.50547407805174
1	1	1	Bcell	CD4T	CD8T	229	2327	0.801745624738836	0	1.27619374510386	0.0909172378306254	1.07788023959993	1.11433263494558	1.22560658275973	1.2738303889416	1.33384520850223	1.43705210836669	1.45075479303768
1	1	1	Bcell	CD8T	CD8T	367	2327	0.776759900207444	0	1.28545145756059	0.0622516337072221	1.1629056608926	1.18690594673207	1.24878864062534	1.27677928839054	1.32015433983038	1.40112664437744	1.42081117562852
1	1	1	Bcell	Macrophage	CD8T	264	2327	1.33694978285609	78	1.28078610348598	0.0918185125370871	1.08165254588657	1.14285148357461	1.23547958115455	1.27845285741591	1.32229488546456	1.44171083771379	1.48912086691217
1	1	1	Bcell	Stroma	CD8T	197	2327	1.43534069185414	97	1.28008352623784	0.0931811724580771	1.08983487372242	1.13428098684571	1.21948259931056	1.2880543096098	1.34118787616197	1.42548006103477	1.49526639595931
1	1	1	Bcell	Treg	CD8T	303	2327	1.76435321411291	100	1.29295547137302	0.0781706600883276	1.0992584367678	1.17514279688355	1.2434836017508	1.29302579899066	1.348824510834	1.4092613346288	1.4551882884313
1	1	1	Bcell	Tumor	CD8T	748	2327	0.928706971230195	0	1.29375854028316	0.0494922486402265	1.19397144773957	1.21197897901959	1.25572486400569	1.30131687964565	1.3282146394568	1.37343774498136	1.39760665570593
1	1	1	Bcell	Bcell	Macrophage	219	2327	2.35246987229594	100	1.33733408917376	0.0668643177727477	1.1914044987447	1.22908967362867	1.29007126602486	1.33522967806634	1.37641042643634	1.44872068012217	1.45411995559905
1	1	1	Bcell	CD4T	Macrophage	229	2327	1.09429820463765	0	1.345986191939	0.0746572100856939	1.20076643695138	1.21863845297241	1.29291068355977	1.34315112993714	1.40023550551152	1.46884796591168	1.50167204407697
1	1	1	Bcell	CD8T	Macrophage	367	2327	1.23574807916959	3	1.33067122720949	0.0572910441953446	1.2324176751527	1.2390246540956	1.29852264141172	1.3261773624688	1.36286361122174	1.43085522959668	1.48864788646223
1	1	1	Bcell	Macrophage	Macrophage	264	2327	0.690593440400236	0	1.34032737812749	0.0712012890361023	1.18946869196278	1.22644749379209	1.29284092541834	1.33180072439358	1.38483495677839	1.47302134085372	1.49319307730756
1	1	1	Bcell	Stroma	Macrophage	197	2327	1.1794525300185	0	1.34263799580469	0.0711383173017188	1.21037904013772	1.22620732609687	1.29256758687831	1.34176225962976	1.38512817246008	1.47454912384764	1.4991224529551
1	1	1	Bcell	Treg	Macrophage	303	2327	1.46208371962251	99	1.33757780355743	0.0549182208035531	1.23385829249308	1.26604555005808	1.29504203723231	1.33221218539871	1.37194478959537	1.43624770137347	1.45676710755601
1	1	1	Bcell	Tumor	Macrophage	748	2327	1.38797532579311	86	1.345776605327	0.0372300101381454	1.25819377535298	1.29249474605503	1.32297644824955	1.34108608554466	1.36933222122904	1.4088023393676	1.42928639175422
1	1	1	Bcell	Bcell	Stroma	219	2327	1.7137201206216	100	1.31365916961503	0.0558409993477038	1.21074019630747	1.22513721767325	1.27258558875833	1.31745643025626	1.34440573287626	1.41632626091117	1.4494726693747
1	1	1	Bcell	CD4T	Stroma	229	2327	1.12045486792021	0	1.30582379129263	0.0524990238655182	1.19142818415075	1.23466069281992	1.26809612966874	1.30235765672991	1.33697727371991	1.38845483998313	1.43317452576267
1	1	1	Bcell	CD8T	Stroma	367	2327	1.33924950151488	80	1.30250945448189	0.0452492637743846	1.21286286985553	1.22581385680601	1.27739322235344	1.30157721238273	1.33161561359576	1.37816484420205	1.40520250616388
1	1	1	Bcell	Macrophage	Stroma	264	2327	1.15249740228352	1	1.3068802149278	0.0589727852460344	1.17951659836091	1.22205679715893	1.26114779747143	1.30658325181365	1.3439002047736	1.39864475699171	1.43537830114409
1	1	1	Bcell	Stroma	Stroma	197	2327	0.952762609364802	0	1.30069878831708	0.0656095781927359	1.16088690138125	1.19928615085792	1.25575218069418	1.30183714355632	1.34321980646701	1.40976699236155	1.43623315622178
1	1	1	Bcell	Treg	Stroma	303	2327	1.44765753610756	100	1.2992709701595	0.0492644512489987	1.18740647920337	1.22505287402386	1.26759569878765	1.29634111447307	1.33009712988495	1.37972558771304	1.41702368004126
1	1	1	Bcell	Tumor	Stroma	748	2327	1.3126866480145	59	1.30613119539925	0.0288654400079714	1.24360006933325	1.26550344072417	1.28499531964598	1.30091098393986	1.32799197860463	1.3513541097494	1.35911124392018
1	1	1	Bcell	Bcell	Treg	219	2327	1.46277114228667	100	1.04977474610368	0.0546534878902529	0.913501290955226	0.970455768543261	1.01409869856723	1.04551265579348	1.09361638364034	1.14026091640729	1.16055042651752
