Spots	X	Y	Groups	ClusterName	Patients	Bcell	CD4T	CD8T	Macrophage	Stroma	Treg	Tumor
1	432	1236	1	CD4T	1	28.9449972900603	49.8052782275293	77.6125770497746	7.58645010887174	47.9883456158264	9.13685497365478	17.7286344335936
1	462	1107.5	1	CD4T	1	15.5175586617999	49.8052782275293	63.4438917331905	4.34056	36.4249155951692	9.10757323514887	11.4000002158596
1	767	590.5	1	CD4T	1	33.1846827817896	4.05199023967235	25.2440777350095	23.4931766580171	16.0578431308816	9.90195694371572	7.21098107499943
1	769.5	1118.5	1	CD4T	1	20.944519363614	14.7080575890088	12.8620675774931	6.08603712903561	10.2065945505835	7.77425620653192	7.01317647221286
1	775.5	581.5	1	CD4T	1	31.565923473214	4.67248768208114	20.7729205566863	20.0363411641148	14.8610259847159	9.81344	8.84571527717233
1	782	392	1	CD4T	1	26.610189211443	5.48587973327888	9.50369636417326	17.2521461652978	7.55823010986038	12.0913420939117	7.55351652654577
1	811	1458.5	1	CD4T	1	21.485090293094	4.718	7.63558414666488	21.0022552975627	7.09396446700997	7.36249908962983	12.5693753839401
1	823	1455	1	CD4T	1	17.5133786888995	4.718	7.18128576253584	21.5579044872548	10.94576	6.80439636705564	8.45035815761675
1	825	1415	1	CD4T	1	9.87855015758892	7.70292069116644	7.88569630701056	9.74241296271103	24.2532735401718	8.38052803376971	6.07725285147821
1	833	469.5	1	CD4T	1	11.312185976689	10.3641477707721	5.9108839330848	13.6205644826343	31.8556900369651	12.0130323397883	6.98518980472256
1	835.5	1397.5	1	CD4T	1	9.70028143162867	7.70292069116644	6.83572913307717	12.3593591054553	31.8674270649138	15.1834593608703	10.2344719519084
1	852	566	1	CD4T	1	20.2071449803281	6.51562461877601	16.3871564810982	8.69956214990157	12.8135182141362	8.60695624898837	16.0223168857441
1	855	549	1	CD4T	1	26.6763580436011	6.51562461877601	11.044554835755	13.7868969438667	8.4777090709224	10.3090189341954	15.9521433784931
1	970.5	1235	1	CD4T	1	13.5300526745464	15.4531606304989	19.0831290054854	28.4742146893641	31.0156023508169	8.96767574721566	5.15105354349962
1	1013	786	1	CD4T	1	15.7713926140211	33.0049645008505	8.94779614895199	29.6296410130126	21.305309512138	23.6713866460586	7.47769511868463
1	1075	400	1	CD4T	1	22.3973353965154	25.2017171317194	27.2861972204263	21.2818934010299	31.5794599453252	9.49807342923816	8.91989027878707
1	1151	1718	1	CD4T	1	8.7138790597988	13.7455025267176	13.3244873606454	31.1439464837968	25.2193760300924	8.14125043604482	29.5043667441415
1	1258.5	1679	1	CD4T	1	24.3595050643973	6.2505932938242	12.3232859472464	43.2465375966585	31.2717638771336	7.08391635365636	5.8624828405719
1	1351	1557	1	CD4T	1	7.88343776584809	20.6878785730389	8.79726736226654	7.10650462964741	26.1607037576285	26.8679226426161	14.5620441365078
1	1378.5	1436.5	1	CD4T	1	36.2720625514238	15.9342723258265	8.88789056926333	19.1752893391886	7.92848634835175	13.7778525421054	4.93927507879446
1	417	1255	1	Treg	1	33.2902293968185	9.13685497365478	82.1365724505229	8.90190459620861	53.2243934896021	6.69357676486944	10.4001672592704
1	430.5	1266.5	1	Treg	1	27.7649389548762	11.5258335590967	76.7227460212211	5.20607303275703	48.3926067261684	6.69357676486944	6.58359667148588
1	452.5	1270.5	1	Treg	1	19.4418241206735	15.1470579906726	68.3606778504953	6.81746918672905	40.3640272500949	7.8811785774464	12.1266367700859
1	458.5	1290.5	1	Treg	1	18.9144143374306	22.8732999826435	66.2482468658122	8.00671150473151	40.1339603313503	7.8811785774464	13.9614540705186
1	471	1223.5	1	Treg	1	13.6519061873132	15.457769387127	63.0463217137368	6.51562461877601	34.3475584576255	6.09188627707379	28.6817150213023
1	478	1384.5	1	Treg	1	12.4053796848948	58.6773545913856	61.8408689210881	14.1439313520959	32.4845178285533	8.66058266344707	8.90190459620861
1	484	1238.5	1	Treg	1	10.0465708391271	19.6495496002936	58.2683505573309	7.02332579224401	28.4617040496173	6.95964971992126	26.9314747092691
1	486	1019.5	1	Treg	1	9.34116342218677	34.4278249959535	55.5670649605178	8.00671150473151	28.547292079439	8.01115844287204	15.6819393300701
1	494.5	667.5	1	Treg	1	10.7421307204856	57.9702255447467	59.0802119105204	18.2444517069272	23.8071607693484	7.70292069116644	27.0284992195423
1	516	1412.5	1	Treg	1	5.47288	54.0757722906664	51.1462536309357	30.5055825080197	17.5600892385887	8.94779614895199	15.0420613466107
1	537	1401.5	1	Treg	1	6.41925469418374	48.666713150144	42.2302906412163	21.7282212854711	10.2709462144829	8.94779614895199	11.1232791119166
1	550	1427	1	Treg	1	8.43981497427521	40.1339603313503	39.0727886035077	18.872	6.69357676486944	10.8032928423143	13.7610400251144
1	567	1304	1	Treg	1	7.01317647221286	30.7931828033674	27.0897026050859	14.4330706851176	7.98220906125616	12.5466869622223	11.4933423870343
1	579	1273	1	Treg	1	14.0884251640558	30.6749832685855	20.6258096250305	12.0839760608833	5.28752892606745	12.5466869622223	10.3314505024609
1	587.5	1343	1	Treg	1	14.0276224699697	24.0771517301528	17.9353514944313	9.42278033975111	8.13468579277651	16.6298624821734	20.9640654896897
1	591	925.5	1	Treg	1	20.2458830073079	26.4672651418616	14.7793185603126	7.73982112124046	5.81367880447484	36.3936134624964	8.06874561472847
1	594	518.5	1	Treg	1	20.2282840097127	29.9446966455965	15.8547265074867	8.60695624898837	7.00555483278805	22.2161196825008	14.4478687792491
1	650	564.5	1	Treg	1	37.4051418997977	22.3120999091345	5.82591814182108	10.8164716124992	25.5560607641162	9.25305533937845	13.9767515046952
