Spots	X	Y	Groups	ClusterName	Patients	Bcell	CD4T	CD8T	Macrophage	Stroma	Treg	Tumor
1	432	1236	1	CD4T	1	76.6876782801514	131.95548491821	205.628913336622	20.0997512422418	127.14165328483	24.2074368738204	46.9707355701398
1	462	1107.5	1	CD4T	1	41.1126501213434	131.95548491821	168.090005651734	11.5	96.5051812080574	24.1298570240273	30.2034766210779
1	767	590.5	1	CD4T	1	87.9204185613331	10.7354552767919	66.8823594081429	62.2434735534578	42.5440947723653	26.2345192446898	19.1049731745428
1	769.5	1118.5	1	CD4T	1	55.4909902596809	38.9679355367974	34.0771184227775	16.1245154965971	27.0416345659799	20.597329924046	18.580904176062
1	775.5	581.5	1	CD4T	1	83.6316327713384	12.3794184031399	55.0363516232681	53.084837759948	39.3732142452201	26	23.4360832905159
1	782	392	1	CD4T	1	70.5017730273502	14.5344418537486	25.1793566240283	45.7083143421413	20.0249843945008	32.0351369592827	20.0124960961895
1	811	1458.5	1	CD4T	1	56.9231938668237	12.5	20.2299283241439	55.6439574437333	18.7949461292125	19.5064092031312	33.3016516106934
1	823	1455	1	CD4T	1	46.4004310324807	12.5	19.0262975904404	57.1161098115059	29	18.0277563773199	22.3886131772381
1	825	1415	1	CD4T	1	26.1725046566048	20.4083316319586	20.8925824157762	25.8118189982806	64.2572953056694	22.2036033111745	16.1012421881046
1	833	469.5	1	CD4T	1	29.9708191412914	27.459060435492	15.6604597633658	36.0867011515323	84.3993483387165	31.8276609256791	18.5067555233217
1	835.5	1397.5	1	CD4T	1	25.7001945517928	20.4083316319586	18.1107702762748	32.7452286600659	84.4304447459564	40.2274781710214	27.1154937259125
1	852	566	1	CD4T	1	53.5373701259223	17.2626765016321	43.4165866921848	23.0488611432322	33.9484903935359	22.8035085019828	42.4499705535823
1	855	549	1	CD4T	1	70.6770825657087	17.2626765016321	29.2617497767991	36.5273869856578	22.4610774452162	27.3130005674953	42.2640509180083
1	970.5	1235	1	CD4T	1	35.8468966578698	40.9420321918685	50.5593710403917	75.4403738060728	82.1735967327706	23.7592087410334	13.6473440639562
1	1013	786	1	CD4T	1	41.7851648315524	87.4442679653732	23.7065391822594	78.5015923405379	56.4468776815866	62.7156280363994	19.811612756159
1	1075	400	1	CD4T	1	59.3401213345575	66.7701280513974	72.292807387734	56.3848383876375	83.6674966758299	25.1644590643232	23.632604596193
1	1151	1718	1	CD4T	1	23.0867927612304	36.4177154692603	35.3022662162077	82.5136352368504	66.8169140263152	21.569654610123	78.1696872195354
1	1258.5	1679	1	CD4T	1	64.5387480510739	16.5604951616792	32.649655434629	114.578575658803	82.8522781823168	18.7683243791235	15.5322245670091
1	1351	1557	1	CD4T	1	20.8865985742054	54.8110390341216	23.3077240416133	18.8281703837627	69.3108938046538	71.1846191252015	38.5810834477209
1	1378.5	1436.5	1	CD4T	1	96.1002081163199	42.2167028556234	23.5478236786332	50.8035431835222	21.0059515376	36.503424496888	13.0862523283024
1	417	1255	1	Treg	1	88.2000566893242	24.2074368738204	217.614912172856	23.5849528301415	141.01418368377	17.7341478509682	27.5544914669097
1	430.5	1266.5	1	Treg	1	73.5611990114354	30.5368629692049	203.271370340242	13.7931142241337	128.212713878149	17.7341478509682	17.4427635425124
1	452.5	1270.5	1	Treg	1	51.5097078228949	40.1310353716422	181.116675101991	18.0623918681884	106.941572833019	20.8806130178211	32.1286476528347
1	458.5	1290.5	1	Treg	1	50.1123737214672	60.6011551045028	175.519941886955	21.2132034355964	106.332027160212	20.8806130178211	36.9898634763634
1	471	1223.5	1	Treg	1	36.1697387328137	40.9542427594505	167.036672620117	17.2626765016321	91.0013736160065	16.140012391569	75.9901309381686
1	478	1384.5	1	Treg	1	32.8671568590896	155.461410002611	163.842912571768	37.4733238451035	86.0653821231278	22.9455878111675	23.5849528301415
1	484	1238.5	1	Treg	1	26.6176633084123	52.0600614675012	154.377783375718	18.6077940659284	75.4072277702874	18.4390889145858	71.3529957324849
1	486	1019.5	1	Treg	1	24.7487373415292	91.214034007931	147.220922426128	21.2132034355964	75.6339870693063	21.2249852767911	41.5481648210845
1	494.5	667.5	1	Treg	1	28.4604989415154	153.587922702275	156.528751352587	48.3373561544278	63.0753517627924	20.4083316319586	71.6100551598726
1	516	1412.5	1	Treg	1	14.5	143.269850282605	135.508302328677	80.8223360216716	46.5241872578125	23.7065391822594	39.8528543519784
1	537	1401.5	1	Treg	1	17.007351351695	128.93893903705	111.886102801018	57.567351858497	27.2121296483756	23.7065391822594	29.4703240565828
1	550	1427	1	Treg	1	22.3606797749979	106.332027160212	103.520529364953	50	17.7341478509682	28.6225435627234	36.4588809482683
1	567	1304	1	Treg	1	18.580904176062	81.5843122174846	71.7722091063108	38.2393776099978	21.1482859825566	33.2415402771893	30.4507799571702
1	579	1273	1	Treg	1	37.3262642116781	81.2711510931155	54.6465918424928	32.0156211871642	14.0089257261219	33.2415402771893	27.372431386342
1	587.5	1343	1	Treg	1	37.1651718682963	63.7906732994722	47.5184174820669	24.9649754656399	21.5522620622523	44.0596187001204	55.5427763079953
1	591	925.5	1	Treg	1	53.6400037285607	70.1231060350296	39.1567363297811	20.5060966544099	15.4029218007494	96.422248469946	21.377558326432
1	594	518.5	1	Treg	1	53.5933764564242	79.3363094679857	42.0059519592165	22.8035085019828	18.5607111932706	58.8600033978932	38.2785840908464
1	650	564.5	1	Treg	1	99.1022199549536	59.1142960712551	15.4353490404331	28.6574597618142	67.7089358947547	24.5153013442625	37.030392922571
